ogrodzenia
Nr	X	Y	Z	Hg	Hd
314	5804387.41	6423565.16	77.74
315	5804387.85	6423565.14	77.90
317	5804388.86	6423569.01	77.82
318	5804388.40	6423569.29	77.72
319	5804388.96	6423571.89	77.85
320	5804389.41	6423571.84	77.97
322	5804390.49	6423575.77	78.02
323	5804389.93	6423576.01	77.91
333	5804392.85	6423588.72	77.96
334	5804393.41	6423588.52	78.08
335	5804394.21	6423592.10	78.06
336	5804393.67	6423592.29	77.97
337	5804394.23	6423594.78	77.97
338	5804394.81	6423594.64	78.09
378	5804433.01	6423651.08	78.19
379	5804432.82	6423649.72	78.49
401	5804402.29	6423655.33	78.39
402	5804402.06	6423653.78	77.73
414	5804374.77	6423664.20	78.39
415	5804375.03	6423665.82	78.48
416	5804369.57	6423664.98	78.31
417	5804369.78	6423666.55	78.43


zakrzewienia
Nr	X	Y	Z	Hg	Hd
16	5804594.70	6423466.75	77.19
17	5804595.14	6423465.94	77.18
18	5804574.36	6423437.02	77.04
41	5804513.63	6423359.42	76.25
42	5804511.57	6423360.42	76.36
244	5804474.54	6423575.79	77.96
245	5804475.62	6423575.46	77.96
246	5804475.31	6423573.46	77.79
247	5804474.10	6423573.74	77.70

zakrzewienia
Nr	X	Y	Z	Hg	Hd
64	5804694.15	6423652.57	76.36	76.36
65	5804694.67	6423653.58	76.36	76.36
66	5804705.18	6423655.36	76.60	76.60
67	5804709.28	6423656.36	76.67	76.67
68	5804710.81	6423656.77	76.72	76.72
69	5804711.08	6423656.85	76.72	76.72
161	5804621.57	6423553.44	77.39	77.39
163	5804620.68	6423574.15	77.46	77.46
164	5804619.83	6423580.99	77.50	77.50
165	5804619.81	6423585.81	77.51	77.51
166	5804620.17	6423585.83	77.49	77.49
167	5804618.90	6423587.71	77.69	77.69
168	5804618.34	6423599.56	77.82	77.82
169	5804618.05	6423601.50	77.91	77.91
170	5804615.97	6423619.19	78.30	78.30
171	5804574.27	6423626.94	78.47	78.47
192	5804567.39	6423635.99	78.42	78.42
193	5804561.33	6423636.62	78.38	78.38
207	5804538.00	6423619.64	78.49	78.49
210	5804536.44	6423607.95	78.39	78.39
239	5804480.70	6423597.03	77.99	77.99
240	5804477.30	6423583.22	78.00	78.00
241	5804475.74	6423576.46	77.97	77.97
242	5804472.60	6423563.01	77.91	77.91
243	5804472.07	6423561.04	77.88	77.88
268	5804422.45	6423553.49	77.51	77.51
273	5804423.33	6423557.36	77.62	77.62
279	5804425.30	6423566.00	77.68	77.68
287	5804428.43	6423579.21	77.68	77.68
288	5804429.60	6423584.23	77.72	77.72
291	5804431.88	6423593.53	77.77	77.77
292	5804432.90	6423598.73	77.77	77.77
301	5804434.78	6423607.25	77.80	77.80
302	5804435.25	6423610.82	77.83	77.83
307	5804383.33	6423563.60	77.77	77.77
308	5804384.13	6423567.09	77.79	77.79
324	5804386.72	6423576.94	77.98	77.98
328	5804387.80	6423582.13	77.96	77.96
332	5804389.89	6423590.34	78.05	78.05
341	5804392.80	6423604.34	78.12	78.12
342	5804394.15	6423609.54	78.12	78.12
343	5804395.38	6423611.44	78.14	78.14
352	5804475.06	6423645.36	78.14	78.14
353	5804474.60	6423645.41	78.12	78.12
364	5804469.60	6423645.86	78.17	78.17
380	5804433.98	6423651.57	78.26	78.26
381	5804432.76	6423651.71	78.26	78.26
382	5804432.15	6423651.88	78.26	78.26

zasuwa
Nr	X	Y	Z	Hg	Hd	szkic
400	5804411.99	6423654.71	78.37
403	5804401.15	6423656.38	78.25
404	5804403.22	6423656.11	78.38
405	5804407.58	6423655.39	78.43
406	5804398.54	6423656.73	78.40
407	5804393.35	6423657.35	78.38
408	5804391.63	6423657.69	78.38
409	5804384.36	6423658.62	78.34
410	5804378.29	6423659.38	78.34
411	5804377.27	6423659.33	78.37
412	5804372.29	6423660.22	78.36
413	5804371.73	6423660.28	78.36
